5.55065 72100
5.55465 73130
5.55865 74160
5.55873 73130
5.56265 74160
5.56665 75190
5.56697 74160
5.57065 75190
5.57465 76220
5.57521 75190
5.57865 76220
5.58265 77250
5.58345 76220
5.58665 77250
5.59065 78280
5.59169 77250
5.59465 78280
5.59865 79310
5.59993 78280
5.60265 79310
5.60665 80340
5.60817 79310
5.61065 80340
5.61465 81370
5.61641 80340
5.61865 81370
5.62265 82400
5.62465 81370
5.62665 82400
5.63065 83430
5.63289 82400
5.63465 83430
5.63865 84460
5.64113 83430
5.64265 84460
5.64665 85490
5.64937 84460
5.65065 85490
5.65465 86520
5.65761 85490
5.65865 86520
5.66265 87550
5.66585 86520
5.66665 87550
5.67065 88580
5.67409 87550
5.67465 88580
5.67865 89610
5.68233 88580
5.68265 89610
5.68665 90640
5.69057 89610
5.69065 90640
5.69465 91670
5.69865 92700
5.69881 91670
5.70265 92700
5.70665 93730
5.70705 92700
5.71065 93730
5.71465 94760
5.71529 93730
5.71865 94760
5.72265 95790
5.72353 94760
5.72665 95790
5.73065 96820
5.73177 95790
5.73465 96820
5.73865 97850
5.74001 96820
5.74265 97850
5.74665 98880
5.74825 97850
5.75065 98880
5.75465 99910
5.75649 98880
5.75865 99910
5.76265 100940
5.76473 99910
5.76665 100940
5.77065 101970
5.77297 100940
5.77465 101970
5.77865 103000
5.78121 101970
5.78265 103000
5.78945 101970
5.78945 103000
5.79769 101970
5.79769 103000
5.80593 101970
5.80593 103000
5.81417 101970
5.81417 103000
5.82241 101970
5.82241 103000
5.83065 101970
5.83065 103000
5.83889 101970
5.83889 103000
5.84713 101970
5.84713 103000
5.85537 101970
5.85537 103000
5.86361 101970
5.86361 103000
5.87185 101970
5.87185 103000
5.88009 101970
5.88009 103000
5.88833 101970
5.88833 103000
5.89657 101970
5.89657 103000
5.90481 101970
5.90481 103000
5.91305 101970
5.91305 103000
5.92129 101970
5.92129 103000
5.92953 101970
5.92953 103000
5.93777 101970
5.93777 103000
5.94601 101970
5.94601 103000
5.95425 101970
5.95425 103000
5.96249 101970
5.96249 103000
5.97073 101970
5.97073 103000
5.97897 101970
5.97897 103000
5.98721 101970
5.98721 103000
5.99545 101970
5.99545 103000
6.00369 101970
6.00369 103000
6.01193 101970
6.01193 103000
6.02017 101970
6.02017 103000
6.02841 101970
6.02841 103000
6.03665 101970
6.03665 103000
6.04489 101970
6.04489 103000
6.05313 101970
6.05313 103000
6.06137 101970
6.06137 103000
6.06961 101970
6.06961 103000
6.07785 101970
6.07785 103000
6.08609 101970
6.08609 103000
6.09433 101970
6.09433 103000
6.10257 101970
6.10257 103000
6.11081 101970
6.11081 103000
6.11905 101970
6.11905 103000
6.12729 101970
6.12729 103000
6.13553 101970
6.13553 103000
6.14377 101970
6.14377 103000
6.15201 101970
6.15201 103000
6.16025 101970
6.16025 103000
6.16849 101970
6.16849 103000
6.17673 101970
6.17673 103000
6.18497 101970
6.18497 103000
6.19321 101970
6.19321 103000
6.20145 101970
6.20145 103000
6.20969 101970
6.20969 103000
6.21793 101970
6.21793 103000
6.22617 101970
6.22617 103000
6.23441 101970
6.23441 103000
6.24265 101970
6.24265 103000
6.25089 101970
6.25089 103000
6.25913 101970
6.25913 103000
6.26737 101970
6.26737 103000
6.27561 101970
6.27561 103000
6.28385 101970
6.28385 103000
6.29209 101970
6.29209 103000
6.30033 101970
6.30033 103000
6.30857 101970
6.30857 103000
6.31681 101970
6.31681 103000
6.32505 101970
6.32505 103000
6.33329 101970
6.33329 103000
6.34153 101970
6.34153 103000
6.34977 101970
6.34977 103000
6.35801 101970
6.35801 103000
6.36625 101970
6.36625 103000
6.37449 101970
6.37449 103000
6.38273 101970
6.38273 103000
6.39097 101970
6.39097 103000
6.39921 101970
6.39921 103000
6.40745 101970
6.40745 103000
6.41569 101970
6.41569 103000
6.42393 101970
6.42393 103000
6.43217 101970
6.43217 103000
6.44041 101970
6.44041 103000
6.44865 101970
6.44865 103000
6.45689 101970
6.45689 103000
6.46513 101970
6.46513 103000
6.47337 101970
6.47337 103000
6.48161 101970
6.48161 103000
6.48985 101970
6.48985 103000
6.49809 101970
6.49809 103000
6.50633 101970
6.50633 103000
6.51457 101970
6.51457 103000
6.52281 101970
6.52281 103000
6.53105 101970
6.53105 103000
6.53929 101970
6.53929 103000
6.54753 101970
6.54753 103000
6.55577 101970
6.55577 103000
6.56401 101970
6.56401 103000
6.57225 101970
6.57225 103000
6.58049 101970
6.58049 103000
6.58873 101970
6.58873 103000
6.59697 101970
6.59697 103000
6.60521 101970
6.60521 103000
6.61345 101970
6.61345 103000
6.62169 101970
6.62169 103000
